yyyymm,RetEx,signal,signal_RSI,signal_macd
189508,0.0126303263343256,0,0,1
189509,0.0036496248059529,0,0,1
189510,-0.0176896926497859,0,1,0
189511,-0.036371426785367506,0,0,0
189512,-0.061968262570296,0,0,0
189601,-0.015641220336395402,0,0,0
189602,0.0382276272741855,0,0,0
189603,-0.0192218975642081,0,1,0
189604,0.005603963081616299,0,0,0
189605,-0.0075072753300923,0,1,0
189606,-0.0209575860988336,0,1,0
189607,-0.0681809271182558,0,0,0
189608,-0.062333493505915695,0,0,0
189609,0.0467290519469154,0,0,0
189610,0.0166352280720378,0,1,1
189611,0.0647125707833091,0,1,1
189612,-0.0389217244311357,0,0,1
189701,-0.0020821132629656,0,1,1
189702,-0.0113320277990076,0,1,1
189703,0.0002954726249814999,0,1,1
189704,-0.0332707109525263,0,1,0
189705,0.0026816504051516998,0,0,0
189706,0.0446267209797907,0,0,1
189707,0.042347960112999496,0,1,1
189708,0.0626377567636551,0,1,1
189709,0.0457559742870184,0,1,1
189710,-0.03486000614425849,0,1,1
189711,-0.0374034779403462,0,1,0
189712,0.0193420907279869,0,1,0
189801,0.0253305836186477,0,1,0
189802,-0.0039910867990583,0,1,0
189803,-0.0482454780979078,0,0,0
189804,-0.0210869647168321,0,0,0
189805,0.06257457411296641,0,1,1
189806,0.0369839155874791,0,1,1
189807,0.0016121802379339,0,1,1
189808,0.0350759444807834,0,1,1
189809,-0.004569990856222,0,1,1
189810,-0.023068453839785702,0,1,0
189811,0.0309349747797288,0,1,0
189812,0.0601545824602532,0,1,1
189901,0.0743266329253429,0,1,1
189902,0.035938696031043695,0,1,1
189903,0.011775099456311399,0,1,1
189904,0.0101374731534822,0,0,1
189905,-0.043962779769711496,0,0,0
189906,-0.0246263966768142,0,1,0
189907,0.0322559866857657,0,0,0
189908,0.0226281460410507,0,0,0
189909,-0.0141545051676988,0,0,0
189910,-0.0081789987092129,0,1,0
189911,0.01528829821279,0,1,0
189912,-0.0720900497127165,0,0,0
190001,0.010011475899373401,0,0,0
190002,0.0151463293957756,0,0,0
190003,0.004810865669334601,0,0,0
190004,0.0100037847986393,0,0,1
190005,-0.0496885181387296,0,0,0
190006,-0.0321564720449984,0,0,0
190007,-0.0026134232107485,0,0,0
190008,0.0109203850450721,0,0,1
190009,-0.026411205229512,0,0,0
190010,0.0328407842482831,0,0,1
190011,0.0753165375188493,0,1,1
190012,0.0570404520266537,0,1,1
190101,0.0264986583030796,0,1,1
190102,0.0230971619795077,0,1,1
190103,0.0334552662900175,0,0,1
190104,0.08131900175272071,0,0,1
190105,-0.0529376977503169,0,0,0
190106,0.09706489221448371,0,1,1
190107,-0.06987148797057889,0,1,0
190108,0.010911123989338599,0,0,0
190109,-0.0082600643284168,0,1,0
190110,-0.014320940110228102,0,1,0
190111,0.018369187309689,0,1,0
190112,-0.0193740488611986,0,0,0
190201,0.0184233972609684,0,1,0
190202,0.006029404358914799,0,1,0
190203,-0.0016211804394872002,0,0,0
190204,0.031200849535302003,0,1,1
190205,-0.005340879018302,0,1,0
190206,-0.0088261401934251,0,1,0
190207,0.019543350004024698,0,1,0
190208,0.0235330391445073,0,1,1
190209,-0.0015143477114247,0,1,1
190210,-0.0356612885124352,0,1,0
190211,-0.0423890813778526,0,0,0
190212,-0.0271253986895056,0,0,0
190301,0.0475139095813804,0,0,1
190302,-0.0091213123866379,0,1,0
190303,-0.043018354562999406,0,1,0
190304,-0.0443331446439722,0,1,0
190305,-0.0224995718682088,0,1,0
190306,-0.0586514081126686,0,1,0
190307,-0.0496149079773386,0,0,0
190308,-0.0361396587545071,0,0,0
190309,-0.0281998762774041,0,0,0
190310,-0.0364065735210484,0,0,0
190311,-0.0008501201689165004,0,0,1
190312,0.0422218872591782,0,0,1
190401,0.013502106046102,0,0,1
190402,-0.0301129788574534,0,0,1
190403,-0.006170001101642101,0,1,1
190404,0.0220557968994518,0,1,1
190405,-0.0236165882070125,0,1,1
190406,-0.0007650308694137,0,0,1
190407,0.0392301964086477,0,1,1
190408,0.0314205701965144,1,1,1
190409,0.041402495483674605,1,1,1
190410,0.0558567119094368,1,1,1
190411,0.051506332128045,1,0,1
190412,0.0069940158331202994,1,0,1
190501,0.019249034436415097,1,0,1
190502,0.041425028840780906,1,0,1
190503,0.0258694607466455,1,0,1
190504,-0.0147238435143633,0,1,0
190505,-0.0517935289237333,1,0,0
190506,0.009357903206853299,0,0,0
190507,0.028715511882987696,0,0,0
190508,0.0344651872317133,0,0,0
190509,0.0001382743211768996,0,0,0
190510,0.0107921877871157,0,0,0
190511,-0.009099095801328,0,1,0
190512,0.0207776792190357,0,1,0
190601,0.0312250826651125,0,1,0
190602,-0.0104435522753404,0,1,0
190603,-0.0280256322329057,0,1,0
190604,-0.0172522315516561,0,1,0
190605,-0.030076488210423698,0,1,0
190606,0.0095581970247894,0,1,0
190607,-0.0294751154143872,0,0,0
190608,0.0699138058355873,0,1,1
190609,0.026352089542823198,0,1,1
190610,-0.0341987945996534,0,1,0
190611,0.0163033557006823,0,1,1
190612,-0.013315072991840501,0,1,0
190701,-0.0326331203876215,0,1,0
190702,-0.0354036235714147,0,1,0
190703,-0.10247211197820849,0,0,0
190704,0.0007675487283374006,0,0,0
190705,-0.0382410013899854,0,0,0
190706,-0.035752670623922095,0,0,0
190707,0.0343826424808858,0,0,1
190708,-0.0791902038216541,0,0,0
190709,-0.015289039940296699,0,0,0
190710,-0.1136037020084213,0,0,0
190711,-0.0637244991251471,0,0,0
190712,0.0457824409537306,0,0,1
190801,0.0382039868368334,0,0,1
190802,-0.0398698419732347,0,0,1
190803,0.03707808240134,0,0,1
190804,0.0509266174821299,0,0,1
190805,0.0513203938476415,1,1,1
190806,-0.0010150143328510998,1,1,1
190807,0.0342424119841863,1,1,1
190808,0.040633179826248006,1,0,1
190809,-0.013435513939685,1,1,1
190810,0.0096043409555438,1,1,1
190811,0.0651012079863494,1,1,1
190812,0.0201694609013387,1,1,1
190901,0.0009375943752040999,1,1,1
190902,-0.0309420297131618,1,1,0
190903,0.0114140435816218,1,0,0
190904,0.0426207292726127,1,1,0
190905,0.0310837583493475,1,0,1
190906,0.015615329751893798,1,0,0
190907,0.012151945888936401,1,0,0
190908,0.0215240666997128,0,0,0
190909,-0.0017417945120835998,0,0,0
190910,0.0005740633817839002,0,0,0
190911,-0.008253697836187901,0,1,0
190912,0.008377431121015199,0,1,0
191001,-0.0245039564595023,0,0,0
191002,-0.0386302604230772,0,0,0
191003,0.021731107486917898,0,0,0
191004,-0.0272411187007,0,0,0
191005,-0.0196056385083256,0,0,0
191006,-0.0513873361523623,0,0,0
191007,-0.0541590799122919,0,0,0
191008,0.0206590296685622,0,0,0
191009,0.003059342081653,0,0,0
191010,0.042273255832592206,0,0,1
191011,-0.0047711423941958,0,0,1
191012,-0.0310052796728457,0,0,1
191101,0.021725486273766102,0,1,1
191102,0.014624417299787501,0,1,1
191103,-0.0141823915056425,0,1,1
191104,-0.006624855120758701,0,1,1
191105,0.0192408524252256,0,1,1
191106,0.017687046551139698,0,1,1
191107,-0.0065654452435581,1,1,1
191108,-0.050498885649819705,1,1,0
191109,-0.057508015496975304,1,0,0
191110,0.002910072417279,0,0,0
191111,0.037590605211623294,0,0,1
191112,0.0013613411339208005,1,0,1
191201,-0.00141979740712,0,0,1
191202,-0.011178732500061,0,0,1
191203,0.0260295698588691,0,1,1
191204,0.0284882001350425,0,1,1
191205,-0.0037742449556038998,0,1,1
191206,-0.0025912852962575,0,1,1
191207,-0.0019311678113172,0,1,1
191208,0.019611347307259,1,1,1
191209,0.0013543831094379997,1,1,1
